Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[MirrorSceneDataset] Found 1000 scenes in data/synthetic/train
[MirrorSceneDataset] Found 200 scenes in data/synthetic/val
[SingleHeadVGGT] Total params: 1321.8M
[SingleHeadVGGT] Trainable params: 131.3M
[SingleHeadVGGT] Frozen params: 1190.6M
============================================================
Starting Single-Head Composite Baseline
  Train scenes: 1000
  Val scenes: 200
  Epochs: 20
  Device: cuda
============================================================
/mnt/afs/zhengmingkai/miniconda3/envs/rdh/lib/python3.12/site-packages/torch/nn/functional.py:6001: UserWarning: 1Torch was not compiled with memory efficient attention. (Triggered internally at /workspace/framework/mcPytorch/aten/src/ATen/native/transformers/cuda/sdp_utils.cpp:738.)
  return _scaled_dot_product_attention(query, key, value, attn_mask, dropout_p, is_causal, scale = scale, enable_gqa = enable_gqa)
[Epoch 2/20] Step 890/1000 | Loss: 1.1901 | L_point: 0.8064 | L_mask: 0.1243
[Epoch 2/20] Step 900/1000 | Loss: 1.1121 | L_point: 1.0316 | L_mask: 0.0580
[Epoch 2/20] Step 910/1000 | Loss: 1.3162 | L_point: 1.7108 | L_mask: 0.0039
[Epoch 2/20] Step 920/1000 | Loss: 1.3905 | L_point: 2.2354 | L_mask: 0.1700
[Epoch 2/20] Step 930/1000 | Loss: 1.2644 | L_point: 1.1511 | L_mask: 0.3373
[Epoch 2/20] Step 940/1000 | Loss: 1.5081 | L_point: 3.3972 | L_mask: 0.1416
[Epoch 2/20] Step 950/1000 | Loss: 1.2332 | L_point: 0.6024 | L_mask: 0.0722
[Epoch 2/20] Step 960/1000 | Loss: 1.1688 | L_point: 0.8804 | L_mask: 0.0984
[Epoch 2/20] Step 970/1000 | Loss: 1.1519 | L_point: 0.6697 | L_mask: 0.0920
[Epoch 2/20] Step 980/1000 | Loss: 0.9826 | L_point: 0.5701 | L_mask: 0.0603
[Epoch 2/20] Step 990/1000 | Loss: 1.4205 | L_point: 1.0444 | L_mask: 0.2034
[Epoch 2/20] Step 1000/1000 | Loss: 1.4038 | L_point: 0.6701 | L_mask: 0.1825
Epoch 2 done in 2194s | Avg loss: 1.5032
{
  "epoch": 2,
  "metrics": {
    "vggt_primary_vs_first_l": 4.623029473491929,
    "vggt_primary_vs_secondary_nl": 5.887444830074203,
    "single_corrected_vs_first_l": 1.967811950120554,
    "single_corrected_vs_secondary_nl": 2.514261022357651,
    "single_corrected_vs_first_nl": 2.7334005327610797,
    "single_mask_acc_valid_first": 0.9610956971826584
  },
  "counts": {
    "vggt_primary_vs_first_l": 59552018,
    "vggt_primary_vs_secondary_nl": 252719662,
    "single_corrected_vs_first_l": 59552018,
    "single_corrected_vs_secondary_nl": 252719662,
    "single_corrected_vs_first_nl": 252719662,
    "single_mask_acc_valid_first": 312271680
  }
}
[Epoch 3/20] Step 10/1000 | Loss: 1.0389 | L_point: 0.9857 | L_mask: 0.0614
[Epoch 3/20] Step 20/1000 | Loss: 1.0884 | L_point: 1.3734 | L_mask: 0.1257
[Epoch 3/20] Step 30/1000 | Loss: 1.4588 | L_point: 1.1865 | L_mask: 0.0185
[Epoch 3/20] Step 40/1000 | Loss: 1.1005 | L_point: 1.4495 | L_mask: 0.0518
[Epoch 3/20] Step 50/1000 | Loss: 1.0451 | L_point: 0.6841 | L_mask: 0.1009
[Epoch 3/20] Step 60/1000 | Loss: 1.1769 | L_point: 1.9922 | L_mask: 0.1007
[Epoch 3/20] Step 70/1000 | Loss: 0.9723 | L_point: 1.5323 | L_mask: 0.0712
[Epoch 3/20] Step 80/1000 | Loss: 0.9658 | L_point: 0.7274 | L_mask: 0.0385
