Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[MirrorSceneDataset] Found 1000 scenes in data/synthetic/train
[MirrorSceneDataset] Found 200 scenes in data/synthetic/val
[DualHeadVGGT] Total params: 1354.5M
[DualHeadVGGT] Trainable params: 163.9M
[DualHeadVGGT] Frozen params: 1190.6M
============================================================
Starting Dual-Head Layered Baseline
  Train scenes: 1000
  Val scenes: 200
  Epochs: 20
  Device: cuda
============================================================
/mnt/afs/zhengmingkai/miniconda3/envs/rdh/lib/python3.12/site-packages/torch/nn/functional.py:6001: UserWarning: 1Torch was not compiled with memory efficient attention. (Triggered internally at /workspace/framework/mcPytorch/aten/src/ATen/native/transformers/cuda/sdp_utils.cpp:738.)
  return _scaled_dot_product_attention(query, key, value, attn_mask, dropout_p, is_causal, scale = scale, enable_gqa = enable_gqa)
[Epoch 2/20] Step 70/1000 | Loss: 3.7998 | L_primary: 1.7422 | L_secondary: 2.0408 | L_mask: 0.0640
[Epoch 2/20] Step 80/1000 | Loss: 3.4094 | L_primary: 1.1814 | L_secondary: 1.1590 | L_mask: 0.1047
[Epoch 2/20] Step 90/1000 | Loss: 4.4063 | L_primary: 1.9994 | L_secondary: 1.8023 | L_mask: 0.0846
[Epoch 2/20] Step 100/1000 | Loss: 3.7217 | L_primary: 1.4414 | L_secondary: 1.6406 | L_mask: 0.0575
[Epoch 2/20] Step 110/1000 | Loss: 3.7122 | L_primary: 1.0687 | L_secondary: 1.5244 | L_mask: 0.0383
[Epoch 2/20] Step 120/1000 | Loss: 3.9697 | L_primary: 2.2351 | L_secondary: 1.9700 | L_mask: 0.0242
[Epoch 2/20] Step 130/1000 | Loss: 3.6588 | L_primary: 1.7780 | L_secondary: 1.0312 | L_mask: 0.0810
[Epoch 2/20] Step 140/1000 | Loss: 3.8398 | L_primary: 1.0338 | L_secondary: 1.2054 | L_mask: 0.0272
[Epoch 2/20] Step 150/1000 | Loss: 3.5072 | L_primary: 1.2718 | L_secondary: 1.6210 | L_mask: 0.1372
[Epoch 2/20] Step 160/1000 | Loss: 3.4375 | L_primary: 1.7652 | L_secondary: 2.3467 | L_mask: 0.1082
[Epoch 2/20] Step 170/1000 | Loss: 3.5898 | L_primary: 1.1827 | L_secondary: 1.7317 | L_mask: 0.1532
[Epoch 2/20] Step 180/1000 | Loss: 3.1399 | L_primary: 1.3310 | L_secondary: 1.2423 | L_mask: 0.5037
[Epoch 2/20] Step 190/1000 | Loss: 3.3643 | L_primary: 1.3692 | L_secondary: 1.6370 | L_mask: 0.1734
[Epoch 2/20] Step 200/1000 | Loss: 3.8280 | L_primary: 0.8896 | L_secondary: 1.1274 | L_mask: 0.1363
[Epoch 2/20] Step 210/1000 | Loss: 4.0554 | L_primary: 1.9767 | L_secondary: 1.5092 | L_mask: 0.2637
[Epoch 2/20] Step 220/1000 | Loss: 3.5323 | L_primary: 0.9007 | L_secondary: 1.1910 | L_mask: 0.2213
[Epoch 2/20] Step 230/1000 | Loss: 3.8075 | L_primary: 2.0536 | L_secondary: 2.7576 | L_mask: 0.0406
[Epoch 2/20] Step 240/1000 | Loss: 3.7804 | L_primary: 1.0189 | L_secondary: 1.3960 | L_mask: 0.0691
[Epoch 2/20] Step 250/1000 | Loss: 3.6374 | L_primary: 2.2578 | L_secondary: 1.9797 | L_mask: 0.0644
